Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Мамаева Надежда Николаевна: У волшебства запах корицы,1 444 ₽,Надежда Мамаева,На крыльях Надежды,Русское фэнтези,Нет данных,978-5-517-03088-7,16+,2020,308,Твёрдый переплёт,Нет данных,153x215  мм,0.50  кг
Эльденберт Марина: Ныряльщица,1 529 ₽,Марина Эльденберт,Миры Марины Эльденберт,Русское фэнтези,Нет данных,978-5-517-02418-3,16+,2020,382,Твёрдый переплёт,Нет данных,153x217  мм,0.59  кг
Калбазов Константин Георгиевич: Пес. Книга 1. Страж,977 ₽,Константин Калбазов,Миры Константина Калбазова,Русское фэнтези,Нет данных,978-5-517-02061-1,16+,2020,310,Твёрдый переплёт,Нет данных,153x215  мм,0.50  кг
Бондарев Олег Игоревич: Блюз одинокой горгоны,1 444 ₽,Олег Бондарев,Нет данных,Русское фэнтези,Нет данных,978-5-517-02280-6,16+,2020,300,Твёрдый переплёт,Нет данных,140x220  мм,0.49  кг
Васильев Ярослав Маратович: Книга миров. Принц для невесты,1 444 ₽,Ярослав Васильев,Проза Ярослава Васильева,Русское фэнтези,Нет данных,978-5-517-01669-0,16+,2020,284,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Гурова Анна Евгеньевна: Башня Полной Луны,1 104 ₽,Анна Гурова,Миры Анны Гуровой,Русское фэнтези,Нет данных,978-5-517-01458-0,16+,2020,410,Твёрдый переплёт,Нет данных,155x217  мм,0.62  кг
Соболевская Анастасия: Корона двух королей: роман,1 869 ₽,Анастасия Соболевская,Хроники разрушенного королевства,Русское фэнтези,Нет данных,978-80-7499-398-5,16+,2020,422,Твёрдый переплёт,Нет данных,151x216  мм,0.62  кг
Одувалова Анна Сергеевна: Выбор ксари. Книга 3,934 ₽,Анна Одувалова,Нет данных,Русское фэнтези,Нет данных,978-5-517-02643-9,16+,2020,326,Твёрдый переплёт,Нет данных,153x216  мм,0.52  кг
Андрианова Татьяна Алексанровна: За что не берутся даже джинны,1 444 ₽,Татьяна Андрианова,Эльфы до добра не доводят,Русское фэнтези,Нет данных,978-5-517-01160-2,16+,2020,340,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
Каури Лесса: Фаэрверн навсегда,1 444 ₽,Лесса Каури,Крылатые миры Лессы Каури,Русское фэнтези,Нет данных,978-5-517-01960-8,16+,2020,300,Твёрдый переплёт,Нет данных,153x215  мм,0.49  кг
Задунайский Вук: Балканский венец. Т. 1,1 444 ₽,Вук Задунайский,Нет данных,Русское фэнтези,Нет данных,978-5-517-01975-2,16+,2020,538,Твёрдый переплёт,Нет данных,153x216  мм,0.78  кг
Чернышева Ната: Дочь княжеская 2,1 444 ₽,Ната Чернышева,Дочь княжеская,Русское фэнтези,Нет данных,978-5-517-03070-2,16+,2020,566,Твёрдый переплёт,Нет данных,153x216  мм,0.82  кг
Бабкин Михаил Александрович: Хитник,977 ₽,Михаил Бабкин,Слимпериада,Русское фэнтези,Нет данных,978-5-517-01279-1,16+,2020,308,Твёрдый переплёт,Нет данных,153x215  мм,0.50  кг
Встречи с неизвестным,722 ₽,Нет данных,Премия имени Владимира Гиляровского представляет публициста,Русское фэнтези,Интернациональный Союз писателей,978-5-00153-195-1,16+,2020,120,Мягкий переплёт,Нет данных,147x210  мм,0.17  кг
Самойлова Елена Александровна: В тени охотника. Книга 2. Седьмой Самайн,1 529 ₽,Елена Самойлова,Легенды Западного холма,Русское фэнтези,Нет данных,978-5-517-02411-4,16+,2020,314,Твёрдый переплёт,Нет данных,153x217  мм,0.50  кг
Измайлова Кира Алиевна: Городская магия,1 189 ₽,Кира Измайлова,Миры Киры Измайловой,Русское фэнтези,Нет данных,978-5-517-00907-4,16+,2020,268,Твёрдый переплёт,Нет данных,153x216  мм,0.44  кг
Гаглоев Эльберд Фарзунович: Во славу Блистательного Дома,1 614 ₽,Эльберд Гаглоев,Во славу Великого Дома,Русское фэнтези,Нет данных,978-5-517-00936-4,16+,2020,346,Твёрдый переплёт,Нет данных,152x215  мм,0.55  кг
Орлова Анна: Три капли на стакан,1 869 ₽,Анна Орлова,Нет данных,Русское фэнтези,Нет данных,978-5-517-02601-9,16+,2020,506,Твёрдый переплёт,Нет данных,153x217  мм,0.75  кг
Шевченко Ирина Сергеевна: Алмазное сердце,1 614 ₽,Ирина Шевченко,Фантастическая романтика,Русское фэнтези,Нет данных,978-5-517-01688-1,16+,2020,532,Твёрдый переплёт,Нет данных,153x215  мм,0.78  кг
Иванов Сергей: Крылья Гремящие,662 ₽,Сергей Иванов,Крылья Гремящие,Русское фэнтези,Нет данных,978-5-517-01847-2,16+,2020,182,Твёрдый переплёт,Нет данных,152x215  мм,0.34  кг
Романовская Ольга: Академия колдовских сил. Прятки с демоном,1 614 ₽,Ольга Романовская,Нет данных,Русское фэнтези,Нет данных,978-5-517-01666-9,16+,2020,462,Твёрдый переплёт,Нет данных,155x217  мм,0.69  кг
Шенгальц Игорь Александрович: Провинциальный маг,1 274 ₽,Игорь Шенгальц,Мир Шенгальца. Рипол,Русское фэнтези,Нет данных,978-5-517-02041-3,16+,2020,324,Мягкий переплёт,Нет данных,147x210  мм,0.42  кг
Бойтесь своих желаний: фентези,892 ₽,Нет данных,Мосты между мирами,Русское фэнтези,Нет данных,978-80-7499-406-7,16+,2020,240,Твёрдый переплёт,Нет данных,155x217  мм,0.41  кг
Малиновская Елена Михайловна: Западня для нечисти,722 ₽,Елена Малиновская,Миры Елены Малиновской,Русское фэнтези,Нет данных,978-5-517-02561-6,16+,2020,384,Твёрдый переплёт,Нет данных,150x215  мм,0.58  кг
Бабкин Михаил Александрович: Хитники,977 ₽,Михаил Бабкин,Слимпериада,Русское фэнтези,Нет данных,978-5-517-01280-7,16+,2020,322,Твёрдый переплёт,Нет данных,153x215  мм,0.52  кг
Шевченко Ирина Сергеевна: Сказки врут!,1 699 ₽,Ирина Шевченко,Фантастическая романтика,Русское фэнтези,Нет данных,978-5-517-01690-4,16+,2020,386,Твёрдый переплёт,Нет данных,153x215  мм,0.60  кг
Бондарев Олег Игоревич: Море последних желаний,1 444 ₽,Олег Бондарев,Нет данных,Русское фэнтези,Нет данных,978-5-517-02286-8,16+,2020,278,Твёрдый переплёт,Нет данных,153x216  мм,0.46  кг
Бондарев Олег Игоревич: Мертвый кортеж,1 444 ₽,Олег Бондарев,Нет данных,Русское фэнтези,Нет данных,978-5-517-02279-0,16+,2020,306,Твёрдый переплёт,Нет данных,155x216  мм,0.50  кг
Колесова Наталия В.: Броманс,1 869 ₽,Наталия Колесова,Грани миров Натальи Колесовой,Русское фэнтези,Нет данных,978-5-517-02317-9,16+,2020,380,Твёрдый переплёт,Нет данных,153x217  мм,0.59  кг
Лазаренко Ирина: Хмурь,1 147 ₽,Лазаренко Ирина,Нет данных,Русское фэнтези,Нет данных,978-5-517-02392-6,16+,2020,348,Твёрдый переплёт,Нет данных,153x217  мм,0.55  кг
Колесова Наталия В.: Нестрашные сны,1 529 ₽,Наталия Колесова,Грани миров Наталья Колесовой,Русское фэнтези,Нет данных,978-5-517-02316-2,16+,2020,306,Твёрдый переплёт,Нет данных,153x217  мм,0.49  кг
Измайлова Кира Алиевна: Пятый постулат,1 359 ₽,Кира Измайлова,Миры Киры Измайловой,Русское фэнтези,Нет данных,978-5-517-00913-5,16+,2020,416,Твёрдый переплёт,Нет данных,153x216  мм,0.64  кг
Маркелов Олег Владимирович: Дары Пандоры,1 359 ₽,Олег Маркелов,Звездные хроники Олега Маркелова,Русское фэнтези,Нет данных,978-5-517-02049-9,18+,2020,268,Твёрдый переплёт,Нет данных,153x215  мм,0.45  кг
Лазарева Ярослава: Рыцарь ночи,2 294 ₽,Ярослава Лазарева,Миры Ярославы Лазаревой,Русское фэнтези,Нет данных,978-5-517-01599-0,16+,2020,384,Твёрдый переплёт,Нет данных,153x217  мм,0.59  кг
Калугин Алексей Александрович: Темные отражения,1 699 ₽,Алексей Калугин,Нет данных,Русское фэнтези,Нет данных,978-5-517-01021-6,16+,2020,374,Твёрдый переплёт,Нет данных,153x215  мм,0.58  кг
Малиновская Елена Михайловна: Охота на нечисть,934 ₽,Елена Малиновская,Миры Елены Малиновской,Русское фэнтези,Нет данных,978-5-517-02560-9,16+,2020,360,Твёрдый переплёт,Нет данных,150x215  мм,0.55  кг
Ерпылев Андрей Юрьевич: Мавзолей для братка. Книга 2,1 529 ₽,Андрей Ерпылев,«Жил-был Анри Четвертый...»,Русское фэнтези,RUGRAM,978-5-517-01956-1,16+,2020,412,Твёрдый переплёт,Нет данных,153x217  мм,0.63  кг
Кузнецова Дарья Андреевна: Во имя Чести,1 359 ₽,Дарья Кузнецова,Офицерские дети,Русское фэнтези,Нет данных,978-5-517-02603-3,16+,2020,270,Твёрдый переплёт,Нет данных,153x217  мм,0.45  кг
Митюгина Ольга Юрьевна: Храм Мортис-1: Хранитель Тайного Алтаря,1 232 ₽,Ольга Митюгина,На перекрестках миров: вселенная Ольги Митюгиной,Русское фэнтези,Нет данных,978-5-517-02310-0,16+,2020,456,Твёрдый переплёт,Нет данных,153x215  мм,0.68  кг
Бабкин Михаил Александрович: Беглер,1 147 ₽,Михаил Бабкин,Слимпериада,Русское фэнтези,Нет данных,978-5-517-01282-1,16+,2020,412,Твёрдый переплёт,Нет данных,153x215  мм,0.63  кг
Ерпылев Андрей Юрьевич: В когтях неведомого века. Книга 1,1 104 ₽,Андрей Ерпылев,Жил-был Анри Четвертый…,Русское фэнтези,Нет данных,978-5-517-01957-8,16+,2020,346,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
Калбазов Константин Георгиевич: Фронтир. Книга 1. Пропавшие без вести,892 ₽,Константин Калбазов,Миры Константина Калбазова,Русское фэнтези,Нет данных,978-5-517-02055-0,16+,2020,314,Твёрдый переплёт,Нет данных,153x215  мм,0.51  кг
Демченкова Дарья Николаевна: Мир на краю пустоты,1 529 ₽,Дарья Демченкова,За гранью миров,Русское фэнтези,Нет данных,978-5-517-02352-0,16+,2020,332,Твёрдый переплёт,Нет данных,155x215  мм,0.53  кг
"Танари Таша: Приручить время, или Шанс на любовь",1 529 ₽,Таша Танари,Фракталы вселенной Таши Танари,Русское фэнтези,Нет данных,978-5-517-02487-9,16+,2020,364,Твёрдый переплёт,Нет данных,153x217  мм,0.57  кг
Королевская кровь,1 614 ₽,Нет данных,Миры Далии Трускиновской,Русское фэнтези,Нет данных,978-5-517-01508-2,16+,2020,432,Твёрдый переплёт,Нет данных,153x217  мм,0.66  кг
Трилогия: Нимфа из елового леса. Летнее солнцестояние,934 ₽,Казакова Светлана Юрьевна,Русский национальный бестселлер,Русское фэнтези,Нет данных,978-5-00153-151-7,16+,2020,176,Мягкий переплёт,Нет данных,148x210  мм,0.24  кг
Заболотская Мария: Рыжая племянница лекаря. Книга 3,1 359 ₽,Мария Заболотская,Рыжая племянница лекаря,Русское фэнтези,Нет данных,978-5-517-01652-2,16+,2020,318,Твёрдый переплёт,Нет данных,154x217  мм,0.51  кг
Волков Николай: Плетение. Книга 1,1 869 ₽,Николай Волков,Плетение.Рипол,Русское фэнтези,Нет данных,978-5-517-02461-9,16+,2020,452,Твёрдый переплёт,Нет данных,152x215  мм,0.69  кг
Митюгина Ольга Юрьевна: Храм Мортис-2: Посланница Преисподней,1 359 ₽,Ольга Митюгина,На перекрестках миров: вселенная Ольги Митюгиной,Русское фэнтези,Нет данных,978-5-517-02311-7,16+,2020,492,Твёрдый переплёт,Нет данных,153x215  мм,0.73  кг
Малиновская Елена Михайловна: Последняя жизнь нечисти,1 274 ₽,Елена Малиновская,Миры Елены Малиновской,Русское фэнтези,Нет данных,978-5-517-02562-3,16+,2020,374,Твёрдый переплёт,Нет данных,153x215  мм,0.59  кг
Рэйн Ольга: Кипящее море,1 869 ₽,Рэйн Ольга,Аква,Русское фэнтези,Нет данных,978-5-517-02278-3,16+,2020,416,Твёрдый переплёт,Нет данных,153x215  мм,0.63  кг
Посняков Андрей Анатольевич: Сокровища государя,577 ₽,Андрей Посняков,Fantasy-world,Русское фэнтези,Нет данных,978-5-17-123393-8,16+,2020,352,Твёрдый переплёт,газетная,130x205  мм,0.27  кг
Жильцова Наталья Сергеевна: Глория. Два короля,552 ₽,Наталья Жильцова,Далекие королевства. Фэнтези-бестселлеры Натальи Жильцовой,Русское фэнтези,"АСТ, Жанры",978-5-17-121808-9,16+,2020,320,Твёрдый переплёт,газетная,133x207  мм,0.26  кг
Корзун Кирил: Клинок чести,577 ₽,Кирил Корзун,Фэнтези-магия,Русское фэнтези,АСТ,978-5-17-133590-8,16+,2020,416,Твёрдый переплёт,газетная,130x205  мм,0.31  кг
Константинов Евгений Михайлович: Высшая справедливость,1 444 ₽,Евгений Константинов,Миры Евгения Константинова,Русское фэнтези,Нет данных,978-5-517-03031-3,18+,2020,340,Твёрдый переплёт,Нет данных,153x215  мм,0.53  кг
Шаргородская Инна: Обещанье – не пустяк,849 ₽,Шаргородская Инна,Пальмира - Фантастика,Русское фэнтези,RUGRAM,978-5-517-02732-0,16+,2020,330,Мягкий переплёт,Нет данных,147x210  мм,0.43  кг
Демченкова Дарья Николаевна: Исчезающие горизонты,1 104 ₽,Дарья Демченкова,За гранью миров,Русское фэнтези,Нет данных,978-5-517-02351-3,16+,2020,342,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
Набокова Юлия Валерьевна: Осторожно: добрая фея!,2 464 ₽,Юлия Набокова,Нет данных,Русское фэнтези,Нет данных,978-5-517-03029-0,16+,2020,504,Твёрдый переплёт,Нет данных,153x217  мм,0.74  кг
Денисов Вадим Владимирович: Герои нашего племени: Остров,1 232 ₽,Вадим Денисов,Миры Вадима Денисова,Русское фэнтези,Нет данных,978-5-517-00888-6,16+,2020,478,Мягкий переплёт,Нет данных,148x210  мм,0.62  кг
Шумская Елизавета: Чудеса в ассортименте,1 529 ₽,Елизавета Шумская,Нет данных,Русское фэнтези,Нет данных,978-5-517-00954-8,16+,2020,368,Твёрдый переплёт,Нет данных,154x217  мм,0.49  кг
Каштанова Юлия: Второй шанс для Героя. Ч. 1,892 ₽,Каштанова Юлия,Нет данных,Русское фэнтези,Нет данных,978-5-517-03409-0,16+,2020,240,Твёрдый переплёт,Нет данных,154x217  мм,0.36  кг
Орлова Анна: Лили. Дела №1–4,1 699 ₽,Анна Орлова,Нет данных,Русское фэнтези,Нет данных,978-5-517-02598-2,16+,2020,462,Твёрдый переплёт,Нет данных,154x215  мм,0.69  кг
Шумская Елизавета: Химеры чужих желаний,1 104 ₽,Елизавета Шумская,Нет данных,Русское фэнтези,Нет данных,978-5-517-00953-1,16+,2020,386,Твёрдый переплёт,Нет данных,154x217  мм,0.51  кг
Роджер Лилия: Инферняня,316 ₽,Лилия Роджер,Колдовские миры. Новое оформление,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-111923-2,16+,2020,416,Твёрдый переплёт,газетная,133x207  мм,0.36  кг
Чернышева Ната: Тайны темной осени,1 147 ₽,Ната Чернышева,Нет данных,Русское фэнтези,Нет данных,978-5-517-04229-3,16+,2020,226,Твёрдый переплёт,Нет данных,155x217  мм,0.38  кг
Найт Алекс: Хранительница мира,1 954 ₽,Алекс Найт,Хранительница,Русское фэнтези,RUGRAM,978-5-517-04380-1,16+,2021,476,Твёрдый переплёт,Нет данных,150x215  мм,0.68  кг
Росси Делия: Ошибка леди Эвелин,577 ₽,Делия Росси,Чародейки,Русское фэнтези,"АСТ, Жанры",978-5-17-135221-9,16+,2021,352,Твёрдый переплёт,газетная,133x207  мм,0.31  кг
Каменев Алекс И.: Принц стужи,577 ₽,Алекс Каменев,Фэнтези-магия,Русское фэнтези,АСТ,978-5-17-135572-2,16+,2021,384,Твёрдый переплёт,Нет данных,130x208  мм,0.30  кг
Широков Алексей Викторович: Второй курс,577 ₽,Алексей Широков,Fantasy-world,Русское фэнтези,Нет данных,978-5-17-134985-1,16+,2021,384,Твёрдый переплёт,газетная,130x205  мм,0.28  кг
Осадчук Алексей Витальевич: Подземелья кривых гор,499 ₽,Алексей Осадчук,ЛитРес: Фэнтези,Русское фэнтези,Яуза,978-5-00155-280-2,16+,2020,352,Твёрдый переплёт,Нет данных,130x205  мм,0.38  кг
Фуллер Ирина: Эксплеты. Лебединая башня,577 ₽,Ирина Фуллер,Young Adult. Книжный бунт. Новые сказки,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-118421-6,16+,2021,448,Твёрдый переплёт,офсет,131x207  мм,0.39  кг
Хусаинова Ольга П.: Киллит. Сбежавшая демоница,577 ₽,Ольга Хусаинова,Другие Миры,Русское фэнтези,Нет данных,978-5-17-135193-9,16+,2021,352,Твёрдый переплёт,Нет данных,130x205  мм,0.28  кг
Ярыгин Николай Михайлович: Последний Хранитель,577 ₽,Николай Ярыгин,Фэнтези-магия,Русское фэнтези,АСТ,978-5-271-48576-3,16+,2021,352,Твёрдый переплёт,газетная,135x205  мм,0.29  кг
Феверс Анита: Ведьмина Дорога,1 869 ₽,Феверс Анита,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04849-3,16+,2021,332,Твёрдый переплёт,Нет данных,153x216  мм,0.51  кг
"Martinas E. V.: Место, которого дважды не было",534 ₽,E. V. Martinas,Мастера прозы,Русское фэнтези,Эксмо,978-5-600-02901-9,16+,2021,304,Твёрдый переплёт,офсет,140x215  мм,0.39  кг
"Танари Таша: Испытать силу демона. книга вторая. пой для меня, моя сирена",1 869 ₽,Таша Танари,Фракталы вселенной Таши Танари,Русское фэнтези,RUGRAM,978-5-517-04879-0,16+,2021,292,Твёрдый переплёт,Нет данных,153x215  мм,0.46  кг
Каримова Лука: Однажды летом,1 359 ₽,Лука Каримова,Книги Луки Каримовой,Русское фэнтези,RUGRAM,978-5-517-03245-4,16+,2020,234,Твёрдый переплёт,Нет данных,154x217  мм,0.35  кг
Александрова Марина Николаевна : Властители льдов,577 ₽,Александрова Марина Николаевна,Другие Миры,Русское фэнтези,Нет данных,978-5-17-138297-1,16+,2021,480,Твёрдый переплёт,Нет данных,130x206  мм,0.35  кг
Нэльте Нидейла: Раб. Кн. 3: Остаться человеком,1 444 ₽,Нидейла Нэльте,Раб,Русское фэнтези,RUGRAM,978-5-517-03676-6,16+,2021,452,Твёрдый переплёт,Нет данных,154x216  мм,0.56  кг
Власова Ксения Игоревна: Ведьме в отборе не место!,1 104 ₽,Ксения Власова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04711-3,16+,2021,282,Твёрдый переплёт,Нет данных,154x216  мм,0.45  кг
Вартанов Степан Сергеевич: Тысяча ударов меча. Книга 2,1 147 ₽,Степан Вартанов,Кристалл,Русское фэнтези,RUGRAM,978-5-517-04438-9,16+,2021,400,Твёрдый переплёт,Нет данных,153x215  мм,0.48  кг
Гринберг Александра: Обрученные Хаосом,1 444 ₽,Александра Гринберг,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04148-7,16+,2021,304,Твёрдый переплёт,Нет данных,154x216  мм,0.48  кг
Новолодская Нина: Не вооружена и не опасна,1 529 ₽,Нина Новолодская,Золотой Феникс,Русское фэнтези,RUGRAM,978-5-517-05159-2,16+,2021,280,Твёрдый переплёт,Нет данных,154x216  мм,0.45  кг
Васильев Владимир Николаевич: Три шага на Данкартен,1 274 ₽,Владимир Васильев,Нет данных,Русское фэнтези,RUGRAM,978-5-517-01056-8,16+,2021,344,Твёрдый переплёт,Нет данных,154x216  мм,0.53  кг
Хант Диана: Дракон и Феникс. Подарок особого назначения,1 614 ₽,Диана Хант,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04153-1,18+,2021,488,Твёрдый переплёт,Нет данных,154x216  мм,0.70  кг
Коробкова Ольга А.: Приключения в Аду. Посланница,1 444 ₽,Ольга Коробкова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-03871-5,16+,2021,318,Твёрдый переплёт,Нет данных,153x215  мм,0.43  кг
Машевская Анастасия: Тени Архонта,2 039 ₽,Анастасия Машевская,Смотритель пустоты,Русское фэнтези,RUGRAM,978-5-517-03954-5,16+,2021,372,Твёрдый переплёт,Нет данных,154x216  мм,0.56  кг
О людях и демонах. Книга 1,1 699 ₽,Нет данных,Когда дьяволы придут пить твою кровь,Русское фэнтези,RUGRAM,978-5-517-04829-5,16+,2021,294,Твёрдый переплёт,Нет данных,154x216  мм,0.47  кг
Лазарева Ярослава: Талисман полнолуния,1 232 ₽,Ярослава Лазарева,Миры Ярославы Лазаревой,Русское фэнтези,RUGRAM,978-5-517-03241-6,16+,2020,342,Твёрдый переплёт,Нет данных,154x216  мм,0.45  кг
Лазарева Ярослава: Возмездие полнолуния,1 699 ₽,Ярослава Лазарева,Миры Ярославы Лазаревой,Русское фэнтези,RUGRAM,978-5-517-03237-9,16+,2020,312,Твёрдый переплёт,Нет данных,154x216  мм,0.49  кг
Перова Ксения: Обезглавленное древо. Книга 1. Айк,1 359 ₽,Перова Ксения,Обезглавленное древо,Русское фэнтези,RUGRAM,978-5-517-05033-5,16+,2021,302,Твёрдый переплёт,Нет данных,153x215  мм,0.47  кг
Волков Тим: Пожиратели душ,1 409 ₽,Тим Волков,Миры Тима Волкова,Русское фэнтези,RUGRAM,978-5-517-04044-2,16+,2021,306,Твёрдый переплёт,Нет данных,154x216  мм,0.41  кг
Комарова Марина Сергеевна: Мой охотник на монстров,1 104 ₽,Марина Комарова,Миры Марины Комаровой,Русское фэнтези,RUGRAM,978-5-517-04057-2,16+,2021,196,Твёрдый переплёт,Нет данных,153x215  мм,0.34  кг
Петровичева Лариса: Музыка мертвых,1 189 ₽,Лариса Петровичева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-03431-1,16+,2021,292,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Резанова Наталья Владимировна: Кругом одни принцессы,1 359 ₽,Наталья Резанова,Принцесса,Русское фэнтези,RUGRAM,978-5-517-01626-3,16+,2021,366,Твёрдый переплёт,Нет данных,154x216  мм,0.55  кг
Резанова Наталья Владимировна: Не будите спящую принцессу,1 104 ₽,Наталья Резанова,Принцесса,Русское фэнтези,RUGRAM,978-5-517-01627-0,16+,2021,282,Твёрдый переплёт,Нет данных,154x216  мм,0.45  кг
Лазарева Ярослава: Гость полнолуния,1 104 ₽,Ярослава Лазарева,Миры Ярославы Лазаревой,Русское фэнтези,RUGRAM,978-5-517-03238-6,16+,2020,312,Твёрдый переплёт,Нет данных,154x216  мм,0.42  кг
Вилар Симона: Светорада Золотая,1 954 ₽,Симона Вилар,Княжна Светорада,Русское фэнтези,RUGRAM,978-5-517-05024-3,16+,2020,520,Твёрдый переплёт,Нет данных,154x216  мм,0.74  кг
Никонова Ксения Сергеевна: Дети разных миров. Кн. 1,1 359 ₽,Ксения Никонова,Сказка о потерянном короле,Русское фэнтези,RUGRAM,978-5-517-03892-0,16+,2021,372,Твёрдый переплёт,Нет данных,154x216  мм,0.56  кг
Каримова Лука: Прежде чем я умру,1 869 ₽,Лука Каримова,Книги Луки Каримовой,Русское фэнтези,RUGRAM,978-5-517-03246-1,16+,2021,424,Твёрдый переплёт,Нет данных,154x216  мм,0.62  кг
Баумгертнер Ольга Гартвиновна: Колдовская компания. Кн. 1: Миры закатных магов,1 784 ₽,Ольга Баумгертнер,Волшебные миры Ольги Баумгертнер,Русское фэнтези,RUGRAM,978-5-517-05048-9,16+,2021,480,Твёрдый переплёт,Нет данных,153x215  мм,0.69  кг
Митюгина Ольга Юрьевна: Перстень и чаша,2 124 ₽,Ольга Митюгина,На перекрестках миров: вселенная Ольги Митюгиной,Русское фэнтези,RUGRAM,978-5-517-02308-7,16+,2021,384,Твёрдый переплёт,Нет данных,154x216  мм,0.58  кг
Мазин Александр Владимирович: Варяг. Дерзкий,620 ₽,Александр Мазин,Варяжская Русь,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-118724-8,16+,2023,384,Твёрдый переплёт,газетная,130x206  мм,0.30  кг
Гончарова Галина Дмитриевна: Времена года. Черная осень,316 ₽,Галина Гончарова,Колдовские миры Галины Гончаровой,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-111908-9,16+,2021,448,Твёрдый переплёт,газетная,130x205  мм,0.38  кг
Выигрыш,1 062 ₽,Нет данных,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04033-6,16+,2021,250,Твёрдый переплёт,Нет данных,153x217  мм,0.41  кг
"Волкова Янина: Дети луны, дети солнца",336 ₽,Янина Волкова,Young Adult. Инстахит. Этническое фэнтези. Дети богов,Русское фэнтези,"Эксмо, Like Book, Редакция 1",978-5-04-118106-2,16+,2021,288,Твёрдый переплёт,офсет,130x207  мм,0.33  кг
"Гурова Анна Евгеньевна, Семенова Мария Васильевна: Аратта. Книга 5. Зимняя жертва",637 ₽,"Анна Гурова, Мария Семенова",Миры Марии Семёновой,Русское фэнтези,Азбука,978-5-389-17717-8,16+,2023,448,Твёрдый переплёт,офсет,130x205  мм,0.44  кг
Билет на небесный поезд: сборник рассказов,1 879 ₽,Нет данных,Нет данных,Русское фэнтези,Нет данных,978-5-6044015-6-9,Нет данных,2020,400,Твёрдый переплёт,Нет данных,16x2020  мм,0.50  кг
Ловушка для музы: сборник фантастической прозы,1 519 ₽,Нет данных,Нет данных,Русское фэнтези,Нет данных,978-5-6044015-0-7,Нет данных,2020,296,Твёрдый переплёт,Нет данных,32x2020  мм,0.33  кг
Античная сказка,869 ₽,Нет данных,Нет данных,Русское фэнтези,Нет данных,978-5-6044015-1-4,Нет данных,2020,200,Твёрдый переплёт,Нет данных,32x2020  мм,0.19  кг
"Керлис Пальмира: Тьма на вынос, или До самого конца",1 444 ₽,Пальмира Керлис,Нет данных,Русское фэнтези,Нет данных,978-5-517-03635-3,16+,2020,458,Твёрдый переплёт,Нет данных,150x215  мм,0.68  кг
Соул Диана: Дизайнер Смерти,1 614 ₽,Диана Соул,Нет данных,Русское фэнтези,Нет данных,978-5-517-03099-3,18+,2020,382,Твёрдый переплёт,Нет данных,150x215  мм,0.58  кг
Александрова Марина Николаевна : Осколок его души,1 444 ₽,Александрова Марина Николаевна,Нет данных,Русское фэнтези,RUGRAM,978-5-517-03872-2,16+,2021,574,Твёрдый переплёт,Нет данных,150x215  мм,0.68  кг
Гусейнова Ольга Вадимовна: Путевой светлячок,1 954 ₽,Ольга Гусейнова,Нет данных,Русское фэнтези,Нет данных,978-5-517-03656-8,16+,Нет данных,456,Твёрдый переплёт,Нет данных,155x215  мм,0.66  кг
Коротаева Ольга Ивановна: Миссия невыполнима. Попаданка и Дракон,1 232 ₽,Ольга Коротаева,Нет данных,Русское фэнтези,Нет данных,978-5-517-03669-8,16+,2020,386,Твёрдый переплёт,Нет данных,152x216  мм,0.57  кг
Косухина Наталья Викторовна: Новогодний подарок,1 189 ₽,Наталья Косухина,Нет данных,Русское фэнтези,Нет данных,978-5-517-03823-4,16+,2021,246,Твёрдый переплёт,Нет данных,153x217  мм,0.42  кг
Боброва Екатерина А.: Жила была хозяйка или Дорогами иных миров,1 699 ₽,Екатерина Боброва,Нет данных,Русское фэнтези,Нет данных,978-5-517-03018-4,16+,2020,528,Твёрдый переплёт,Нет данных,162x215  мм,0.75  кг
Валентеева Ольга Александровна: Зардан.  Последний маг,1 359 ₽,Ольга Валентеева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04806-6,16+,2021,354,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
"Корр Кристина: Невеста инквизитора, или Ведьма на отборе - к беде!",1 189 ₽,Кристина Корр,Нет данных,Русское фэнтези,RUGRAM,978-5-517-04713-7,16+,2021,246,Твёрдый переплёт,Нет данных,60x90  мм,0.41  кг
